date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-09-13,242105.04,Monday,0,0,0,0,24.840959666203062,71.492280945758,106.22168212637372,2.6633959638135005,1011.839916550765,1016.4034075104312,17.86,26460.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
2021-09-14,240445.44,Tuesday,0,0,0,0,23.854861111111113,65.89701388888889,90.19253528569375,2.3975694444444446,1011.0525694444444,1015.6238888888888,16.78,32760.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-15,236345.04,Wednesday,0,0,0,0,23.830416666666668,58.78395833333333,80.56060202460324,3.2015277777777778,1011.6231250000001,1016.2011805555555,20.45,41460.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-16,230302.8,Thursday,0,0,0,0,22.88800557880056,62.38633193863319,76.89007694853828,2.4755230125523013,1008.686959553696,1013.2648535564854,19.07,31260.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434
2021-09-17,226820.88,Friday,0,0,0,0,23.733148019457957,63.63460736622655,61.34924035887038,2.4121612230715774,1005.1382904794997,1009.6942321056289,14.57,23040.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-18,203970.24,Saturday,1,0,0,0,22.746180555555554,72.64006944444444,304.782923264224,1.1590277777777778,1009.8022222222222,1014.3910416666668,18.62,35820.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-19,195109.2,Sunday,1,1,0,0,23.73916666666667,73.91270833333334,104.97107245714083,1.3728472222222223,1011.3784027777778,1015.9577777777778,15.12,25740.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-20,190321.92,Monday,0,1,0,0,23.598055555555554,67.03527777777778,117.08199537297011,3.249861111111111,1007.1072916666667,1011.6553472222222,17.62,35520.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-21,193470.48,Tuesday,0,1,0,0,22.619666435024325,87.61243919388464,180.82477295323304,2.5457261987491315,1001.0416956219597,1005.5988186240445,10.69,18840.0,30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-22,191047.68,Wednesday,0,1,0,0,20.75070977917981,82.86198738170347,268.3243111661366,2.5694006309148265,1004.4359922178988,1009.0192233009709,9.1,20760.0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268
2021-09-23,217970.64,Thursday,0,0,0,0,20.150972222222222,74.07979166666667,289.33494087832844,2.0793055555555555,1012.2252777777777,1016.8747222222223,14.43,29880.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-24,222136.56,Friday,0,0,0,0,21.546875,70.74569444444445,100.7802116182184,1.8072222222222223,1017.7921527777778,1022.4470138888888,18.9,40740.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-25,191424.24,Saturday,1,0,0,0,21.495,72.92548611111111,69.47852366160151,1.551702571230021,1018.8029861111112,1023.449375,7.57,660.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-26,184733.28,Sunday,1,1,0,0,22.83870743571925,65.10729673384294,101.91920097774809,2.2403752605976375,1016.1189020152884,1020.752744961779,16.29,25080.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-27,216156.96,Monday,0,0,0,0,21.865625,65.47736111111111,97.14639511817364,2.3443055555555556,1011.7390277777778,1016.3443055555556,11.68,9120.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-28,212535.36,Tuesday,0,0,0,0,21.553995830437806,77.28311327310632,112.41776214719498,2.5117442668519807,1008.6291174426685,1013.2280750521195,7.9,1740.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-29,227604.96,Wednesday,0,0,0,0,20.70355400696864,94.13519163763067,236.9901336288882,1.511231101511879,1003.8405574912891,1008.4422299651569,3.58,180.0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435
2021-09-30,228325.68,Thursday,0,0,0,0,20.344652777777778,84.27944444444445,301.5000610714071,1.1704615384615384,1004.7883333333333,1009.3961805555556,18.02,31920.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-10-01,228451.68,Friday,0,0,0,0,20.85469075747047,81.11751216122308,297.4732022428953,1.7214732453092425,1004.8432939541348,1009.4515635858235,16.62,30660.0,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-10-02,202558.32,Saturday,1,0,0,0,20.51083333333333,80.90666666666667,216.33844711476004,1.1098611111111112,1009.0843055555555,1013.714375,15.5,32100.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
